polling_station_number,parlament_voters,Oppobloc,Strength and Honor,Fatherland,OP for Life,European Solidarity,Ukrainian Strategy,Servant of the People,Radical Party,Party of Shariy,Voice,Freedom,Other parties,district_number
461785,607,1,28,79,15,112,16,119,10,5,142,56,24,126
461786,737,0,35,97,15,128,14,159,17,2,158,64,48,126
461787,550,2,23,65,10,92,21,143,19,2,104,41,28,126
461788,1068,2,46,113,19,193,24,273,24,5,254,61,54,126
461789,610,3,34,55,31,120,9,150,15,3,128,30,32,126
461790,870,2,35,76,25,198,17,175,18,8,195,79,42,126
461791,837,2,30,98,21,158,18,202,11,6,183,53,55,126
461792,906,4,43,95,58,194,15,187,21,1,181,51,56,126
461793,767,2,58,76,39,123,7,184,20,12,150,44,52,126
461794,840,0,34,88,23,145,20,220,19,4,197,42,48,126
461795,1039,8,40,135,36,174,23,253,25,5,224,61,55,126
461796,744,0,25,55,46,131,24,184,21,5,171,40,42,126
461797,799,9,37,86,25,125,14,242,19,2,151,47,42,126
461798,637,7,36,66,53,71,18,204,19,5,102,35,21,126
461799,584,7,23,44,29,87,25,200,20,9,80,37,23,126
461800,563,6,28,53,16,73,12,192,17,7,100,29,30,126
461801,494,0,29,58,7,96,6,98,11,4,114,28,43,126
461802,662,1,25,60,3,164,10,128,13,1,186,39,32,126
461803,932,3,45,77,23,164,18,218,30,7,234,71,42,126
461804,75,0,7,8,1,10,0,17,6,0,16,5,5,126
461805,24,0,1,7,0,0,0,10,0,0,1,2,3,126
461806,0,0,0,0,0,0,0,0,0,0,0,0,0,126
461807,11,0,1,1,0,3,0,2,0,0,3,0,1,126
480407,755,29,26,27,149,37,9,421,15,16,11,4,11,127
480408,436,17,20,26,72,13,2,251,6,11,6,2,10,127
480409,211,9,6,4,45,3,0,120,9,5,3,3,4,127
480410,181,3,1,9,24,11,2,110,12,3,0,0,6,127
480411,58,0,2,2,10,1,0,41,0,0,1,0,1,127
480412,90,17,1,3,12,1,0,47,3,2,1,0,3,127
480413,125,4,10,6,10,5,1,75,5,2,4,1,2,127
480414,66,6,0,12,9,3,0,29,3,1,0,0,3,127
480415,182,5,5,6,19,5,1,123,6,2,4,1,5,127
480416,596,13,23,20,114,31,4,329,21,19,10,6,6,127
480417,166,13,2,14,14,10,2,89,12,2,5,0,3,127
480418,139,6,7,14,37,10,0,53,8,1,0,0,3,127
480419,455,15,19,17,61,22,9,267,14,8,7,3,13,127
480420,231,4,3,6,51,7,3,122,12,4,6,8,5,127
480421,221,18,8,9,45,10,1,115,7,1,1,5,1,127
480422,110,11,2,3,22,6,3,45,11,0,2,1,4,127
480423,89,9,1,8,18,1,0,42,8,0,0,0,2,127
480424,108,5,0,3,17,2,3,66,5,1,5,0,1,127
480425,323,7,10,19,68,16,4,161,15,5,5,1,12,127
480426,103,3,0,10,10,6,1,54,13,0,2,1,3,127
480427,510,11,10,13,74,29,5,296,27,12,12,3,18,127
480428,333,5,7,7,67,12,7,188,15,3,5,4,13,127
480429,64,5,3,7,6,3,0,35,2,0,2,0,1,127
480430,58,9,1,5,3,0,1,26,3,0,7,0,3,127
480431,322,13,8,17,43,20,9,171,17,6,9,2,7,127
480432,354,7,13,9,73,12,7,208,7,1,6,3,8,127
480433,413,9,4,30,67,9,9,250,10,11,9,1,4,127
480434,191,20,3,4,20,8,3,115,3,4,2,1,8,127
480435,66,2,3,5,0,7,3,34,4,1,2,1,4,127
480436,85,7,2,8,7,2,0,40,9,0,0,1,9,127
480437,344,6,6,31,52,5,1,193,22,5,11,1,11,127
480438,288,4,7,19,28,10,1,179,19,4,6,1,10,127
480439,631,20,15,43,117,40,7,301,31,15,27,4,11,127
480440,347,3,12,27,55,18,6,202,10,6,4,0,4,127
480441,752,19,11,36,82,18,5,504,23,22,9,2,21,127
480442,187,8,2,12,24,8,2,114,6,0,3,1,7,127
480443,299,11,10,17,45,22,3,154,11,1,10,0,15,127
480444,920,16,20,40,73,120,20,466,33,5,30,14,83,127
480445,103,9,2,9,14,5,2,43,5,0,11,0,3,127
480446,230,19,5,14,41,9,2,113,6,6,7,0,8,127
480447,77,1,0,10,7,3,0,41,7,0,4,0,4,127
480448,74,1,2,12,10,3,0,32,7,3,1,0,3,127
480449,119,9,1,17,8,9,1,55,11,1,4,0,3,127
480450,66,2,1,7,7,3,2,35,0,4,2,1,2,127
480451,44,1,3,5,4,1,0,20,2,1,5,0,2,127
480453,88,7,2,2,5,1,1,58,3,0,3,0,6,127
480535,419,22,10,31,62,18,14,222,18,9,6,0,7,127
480536,450,14,3,26,127,11,5,228,16,7,1,0,12,127
480537,469,7,11,30,102,25,10,234,23,4,4,3,16,127
480538,74,2,0,11,24,8,0,21,6,1,0,0,1,127
480539,67,1,1,2,14,3,0,28,12,2,0,0,4,127
480540,38,1,1,12,8,4,1,7,3,0,0,0,1,127
480541,391,15,6,20,67,23,8,208,20,6,9,3,6,127
480542,689,14,7,34,146,19,7,383,26,12,19,5,17,127
480543,196,14,3,8,31,5,1,118,12,0,3,0,1,127
480544,100,5,0,11,15,4,4,45,6,1,5,0,4,127
480545,716,15,8,33,147,19,10,404,42,5,9,4,20,127
480546,110,8,5,4,22,12,0,36,1,8,8,3,3,127
480547,145,4,5,2,26,8,1,89,6,0,0,0,4,127
480548,88,3,4,4,18,9,0,34,1,6,7,1,1,127
480549,308,13,13,16,72,17,6,137,15,1,7,0,11,127
480550,153,15,5,7,34,6,0,72,4,0,3,0,7,127
480551,236,9,9,7,43,9,2,128,19,1,4,1,4,127
480552,782,25,15,40,148,30,21,427,17,17,11,6,25,127
480667,929,20,26,44,244,57,9,422,9,32,30,13,23,127
480668,583,24,13,20,189,38,6,221,9,29,14,4,16,127
480669,833,27,17,30,212,41,15,402,11,32,22,11,13,127
480670,1022,33,30,21,211,77,8,541,7,25,23,10,36,127
480671,475,17,8,14,125,23,4,233,11,25,4,5,6,127
480672,851,28,19,33,216,44,7,413,11,45,18,3,14,127
480673,1016,38,17,38,220,53,12,522,16,27,28,14,31,127
480728,1081,53,30,38,306,65,12,459,11,56,20,14,17,127
480729,1090,50,37,34,231,79,15,510,15,56,33,8,22,127
480730,1073,49,26,37,243,55,11,538,13,44,31,5,21,127
480731,1164,56,35,39,293,65,14,514,15,85,21,5,22,127
480732,1205,63,37,33,231,58,9,619,19,71,37,3,25,127
480733,1038,52,31,38,215,43,10,534,17,52,24,4,18,127
480734,1160,53,31,29,243,59,16,598,10,58,34,5,24,127
480735,1104,47,38,37,211,45,12,572,16,74,28,9,15,127
480736,1113,41,35,33,275,57,9,538,10,53,32,8,22,127
480737,898,46,24,33,260,43,7,381,9,46,21,8,20,127
480738,664,35,25,18,174,37,10,293,6,29,14,8,15,127
480739,1053,35,29,46,266,58,11,484,12,51,28,10,23,127
480740,919,45,31,28,190,52,10,447,11,41,31,11,22,127
480741,1124,46,42,38,274,58,11,517,16,49,43,4,26,127
480742,1050,54,21,26,228,59,10,533,11,44,23,11,30,127
480743,1113,51,33,41,259,77,11,533,8,50,18,11,21,127
480744,815,34,16,41,176,31,14,392,8,46,30,8,19,127
480745,691,28,18,14,154,43,6,352,6,33,11,10,16,127
480746,985,41,32,40,250,57,13,444,14,35,31,7,21,127
480747,1047,46,18,43,302,60,12,446,14,50,30,9,17,127
480748,1232,69,30,41,376,76,12,475,5,72,25,13,38,127
480749,559,14,16,19,68,64,7,294,8,17,30,5,17,127
480750,1000,43,23,39,279,77,6,416,12,43,35,8,19,127
480751,1064,35,29,47,279,82,12,451,5,55,45,9,15,127
480752,843,16,19,31,170,48,8,437,7,61,22,9,15,127
480753,946,30,30,40,228,79,10,394,7,53,40,10,25,127
480754,1141,44,55,56,277,88,8,450,11,54,64,4,30,127
480755,1006,45,32,47,253,62,12,447,10,41,30,5,22,127
480756,951,25,37,43,254,95,15,354,3,50,40,6,29,127
480757,631,25,18,26,164,46,3,255,2,45,23,6,18,127
480758,940,37,19,35,217,86,13,416,11,53,21,12,20,127
480759,801,22,29,28,183,47,3,393,12,41,19,10,14,127
480760,811,25,26,31,170,59,7,389,10,41,25,6,22,127
480761,685,16,22,28,179,55,8,282,15,30,26,4,20,127
480762,924,47,30,22,213,47,11,451,8,37,28,12,18,127
480763,916,34,15,42,219,64,6,428,6,40,28,11,23,127
480764,685,24,19,29,135,48,5,328,16,41,18,6,16,127
480765,633,18,18,31,119,24,6,357,7,23,10,2,18,127
480766,674,19,12,33,122,48,12,350,11,25,22,5,15,127
480767,643,16,19,24,139,27,3,348,9,19,16,6,17,127
480768,997,36,25,29,223,51,11,504,6,49,32,10,21,127
480769,1002,28,36,46,180,83,9,518,21,31,22,3,25,127
480770,1039,42,34,33,231,70,6,508,6,43,43,8,15,127
480771,689,27,22,19,149,38,2,354,8,33,13,10,14,127
480772,966,37,13,32,217,48,10,514,19,35,15,5,21,127
480773,965,28,18,38,165,46,8,555,15,43,17,4,28,127
480774,584,21,20,12,92,27,6,345,9,31,3,6,12,127
480775,513,15,13,20,119,36,3,243,17,22,11,5,9,127
480776,488,12,4,21,90,29,5,273,13,13,12,4,12,127
480777,62,3,4,4,18,2,2,23,3,0,0,1,2,127
480778,38,1,3,1,14,0,0,15,1,2,1,0,0,127
480779,41,4,2,3,5,0,0,23,0,2,2,0,0,127
480780,24,1,1,2,2,1,1,13,1,0,0,1,1,127
480781,1036,54,12,25,265,40,13,509,11,65,20,4,18,128
480782,988,59,16,17,308,33,7,451,11,52,6,4,24,128
480783,826,38,28,32,196,42,7,398,14,27,21,5,18,128
480784,1006,19,23,44,234,55,11,526,12,31,27,11,13,128
480785,704,29,18,35,172,22,6,344,9,27,19,4,19,128
480786,858,26,16,35,198,36,6,432,5,41,26,12,25,128
480787,1226,26,26,69,246,75,9,611,13,66,49,10,26,128
480788,1015,31,27,42,216,41,11,537,8,38,29,7,28,128
480789,768,24,25,37,140,35,5,418,5,31,18,8,22,128
480790,957,35,20,41,183,24,8,544,13,40,22,7,20,128
480791,605,27,15,35,118,31,3,316,10,26,10,2,12,128
480792,674,19,16,24,126,32,4,384,8,28,11,9,13,128
480793,1144,30,31,41,233,66,10,628,15,40,25,6,19,128
480794,803,33,20,28,151,35,9,440,12,33,14,5,23,128
480795,997,47,27,45,208,30,12,537,9,41,17,7,17,128
480796,1116,46,32,73,262,48,9,517,10,53,18,18,30,128
480797,807,25,16,45,193,32,8,399,11,38,15,5,20,128
480798,1213,65,46,57,285,37,13,547,21,68,43,8,23,128
480799,1246,74,45,53,333,65,18,505,14,71,35,13,20,128
480800,1097,52,23,40,265,48,7,527,18,56,26,5,30,128
480801,1017,50,34,34,206,56,6,519,6,56,30,2,18,128
480804,1035,36,29,54,217,54,10,532,6,50,19,8,20,128
480805,1043,49,30,34,260,41,13,495,17,32,31,9,32,128
480806,1009,37,29,38,208,57,10,494,15,62,18,10,31,128
480807,709,26,19,29,145,39,12,374,8,22,18,6,11,128
480808,884,45,24,29,177,39,6,464,9,39,23,4,25,128
480809,1158,33,41,48,287,64,12,520,12,70,24,17,30,128
480810,683,20,11,31,167,24,12,328,10,38,17,5,20,128
480811,783,20,12,34,165,46,8,415,11,30,21,5,16,128
480812,1144,48,27,55,227,55,18,606,12,49,26,7,14,128
480813,1116,33,23,60,206,45,23,603,23,39,36,1,24,128
480814,110,8,0,5,18,4,1,62,3,0,1,2,6,128
480815,738,27,24,46,199,40,9,301,7,48,21,5,11,128
480816,730,20,22,25,117,45,7,416,6,29,27,1,15,128
480817,869,35,28,29,238,60,9,371,8,52,20,7,12,128
480818,1028,37,24,40,285,64,13,455,12,45,20,8,25,128
480819,919,33,23,43,216,46,10,454,6,39,27,4,18,128
480820,257,9,9,14,54,13,4,122,8,16,4,1,3,128
480821,1011,32,25,34,250,67,13,470,4,61,19,12,24,128
480822,1070,43,38,34,228,63,11,518,14,57,32,15,17,128
480823,896,34,28,31,225,65,11,385,14,51,22,4,26,128
480824,865,32,23,37,184,37,10,455,9,46,18,3,11,128
480825,913,48,27,40,229,42,12,391,5,72,20,8,19,128
480826,1032,44,30,38,274,57,12,453,10,53,27,17,17,128
480827,997,39,26,52,174,65,7,494,14,56,37,5,28,128
480828,971,32,26,33,224,72,16,436,8,41,46,6,31,128
480829,1052,44,40,41,233,61,7,502,15,57,25,9,18,128
480830,1017,34,26,56,179,63,7,542,12,45,20,10,23,128
480831,1036,38,29,42,244,45,7,556,7,29,12,5,22,128
480832,1113,45,27,25,232,46,8,594,26,55,28,10,17,128
480833,949,39,18,39,259,47,10,405,18,50,30,9,25,128
480834,928,31,14,27,214,28,6,521,9,42,13,4,19,128
480835,770,25,27,25,189,57,10,342,13,47,18,4,13,128
480836,1049,64,41,44,262,75,11,440,12,56,25,8,11,128
480837,937,40,21,37,231,43,5,444,10,48,30,12,16,128
480838,777,27,17,18,210,32,11,367,10,48,22,4,11,128
480839,772,39,19,31,154,30,8,390,8,52,16,6,19,128
480840,722,39,14,29,185,43,6,329,1,37,22,4,13,128
480841,932,38,23,48,224,61,8,434,9,44,28,3,12,128
480842,1061,52,28,28,284,48,12,487,12,50,28,6,26,128
480843,839,28,19,21,210,29,9,433,9,32,23,9,17,128
480844,921,45,34,33,242,43,10,387,7,60,28,8,24,128
480846,988,46,34,51,255,56,7,421,6,59,26,4,23,128
480847,733,42,24,38,204,31,10,290,6,42,23,8,15,128
480848,1064,68,34,61,289,39,13,454,5,52,20,7,22,128
480849,701,38,24,42,168,33,2,330,1,33,15,3,12,128
480850,817,47,34,22,251,36,4,332,9,40,18,7,17,128
480851,1143,48,28,34,307,52,19,527,7,46,33,12,30,128
480852,1135,63,32,32,343,55,7,497,6,52,24,10,14,128
480853,739,23,17,26,164,40,6,366,14,36,24,6,17,128
480854,743,28,25,11,215,35,4,350,3,39,11,7,15,128
480855,1076,35,22,57,285,67,9,494,13,42,21,10,21,128
480856,876,38,25,36,243,33,9,393,9,53,15,4,18,128
480857,934,39,19,35,242,31,8,455,9,54,17,6,19,128
480858,1129,42,26,37,263,74,2,556,15,45,39,6,24,128
480859,850,21,29,30,214,63,15,366,4,52,26,8,22,128
480860,973,50,40,55,258,41,8,403,15,40,30,14,19,128
480861,999,49,28,31,261,62,8,456,14,53,14,6,17,128
480862,1093,37,28,40,284,51,9,506,10,56,33,14,25,128
480863,974,27,21,24,201,45,7,536,13,45,30,5,20,128
480864,933,29,18,20,130,48,10,547,11,58,27,7,28,128
480865,964,34,33,32,272,45,8,414,15,48,37,9,17,128
480866,1167,47,37,43,279,52,7,552,13,66,35,13,23,128
480867,47,1,0,1,5,2,3,31,1,1,0,0,2,128
480868,15,0,0,0,4,2,0,8,0,1,0,0,0,128
480869,99,2,3,6,25,3,0,50,2,3,0,0,5,128
480870,118,8,3,1,35,4,1,56,4,3,2,0,1,128
480871,18,1,0,1,5,2,0,6,0,1,1,0,1,128
480872,22,1,0,3,3,1,0,11,0,0,0,0,3,128
480308,940,27,11,32,205,33,6,535,22,29,19,5,16,129
480309,668,16,21,14,126,27,4,399,7,16,20,6,12,129
480310,253,6,3,9,52,6,6,140,17,2,3,2,7,129
480311,817,13,11,26,186,22,12,450,23,23,11,5,35,129
480312,271,26,7,6,54,7,0,131,16,2,8,3,11,129
480313,148,5,4,2,29,16,2,80,5,1,0,0,4,129
480314,131,5,2,9,14,7,6,62,11,0,2,1,12,129
480315,639,13,15,13,253,10,5,250,37,10,4,6,23,129
480316,970,29,21,51,101,40,12,589,31,37,16,16,27,129
480317,533,15,15,33,104,12,7,285,28,13,2,7,12,129
480318,181,8,2,12,36,4,3,92,9,4,4,0,7,129
480319,83,1,3,5,17,11,2,38,3,0,0,0,3,129
480320,521,12,2,27,81,13,2,323,26,9,9,0,17,129
480321,509,8,18,14,80,9,2,323,18,10,7,5,15,129
480322,573,5,22,12,59,20,5,412,13,8,7,3,7,129
480323,344,9,2,12,74,11,4,208,5,7,6,1,5,129
480324,192,8,1,8,40,4,1,118,4,2,1,0,5,129
480325,237,9,6,5,21,16,8,140,19,3,3,0,7,129
480326,531,12,8,17,99,14,12,308,23,8,5,6,19,129
480327,789,14,19,51,123,26,11,466,36,11,14,5,13,129
480328,388,16,12,23,45,13,4,251,6,5,6,2,5,129
480329,106,15,2,5,3,1,3,62,3,1,1,0,10,129
480330,606,21,14,31,81,25,3,354,31,19,12,5,10,129
480331,519,22,13,10,127,26,9,266,4,16,12,7,7,129
480332,736,26,24,42,148,37,9,363,18,30,9,5,25,129
480333,642,22,7,22,111,18,6,406,10,19,4,2,15,129
480334,222,10,2,6,35,9,1,140,8,1,5,0,5,129
480335,361,6,8,8,59,11,7,221,12,13,8,2,6,129
480336,399,31,13,8,79,10,5,202,20,8,5,3,15,129
480337,120,8,3,2,20,3,5,66,4,4,0,0,5,129
480338,167,5,4,8,14,15,6,71,25,4,7,0,8,129
480339,164,3,3,3,23,8,1,107,6,0,3,2,5,129
480340,539,7,11,30,67,27,4,337,22,9,10,1,14,129
480341,462,8,12,44,34,28,7,278,22,6,11,4,8,129
480342,977,33,21,37,168,64,15,530,22,35,19,6,27,129
480343,430,7,8,22,82,17,4,241,24,2,8,2,13,129
480344,415,11,9,28,53,13,7,249,19,3,8,2,13,129
480345,888,24,45,38,147,24,7,509,30,8,24,17,15,129
480346,160,5,3,12,14,7,2,97,8,2,4,0,6,129
480347,77,4,2,6,9,7,2,33,7,0,6,0,1,129
480348,299,8,7,6,92,14,5,127,9,11,5,0,15,129
480873,950,21,28,41,178,60,11,527,16,28,16,4,20,129
480874,755,17,17,31,160,43,4,423,12,19,13,8,8,129
480875,942,29,27,53,162,48,16,493,25,32,25,9,23,129
480876,1008,21,33,42,202,80,19,512,22,21,26,6,24,129
480877,921,34,25,32,196,69,7,435,17,49,21,6,30,129
480878,968,40,31,51,227,95,11,382,8,50,32,4,37,129
480879,1081,45,34,48,317,72,18,405,7,70,29,14,22,129
480880,894,35,25,59,193,77,4,398,4,24,33,12,30,129
480881,497,13,20,20,109,47,4,229,4,13,19,3,16,129
480882,693,31,21,30,201,59,8,269,5,40,21,2,6,129
480883,1024,38,34,40,214,88,14,436,11,63,43,14,29,129
480884,760,24,19,41,198,61,16,305,11,28,25,3,29,129
480885,762,24,21,30,194,73,12,310,6,33,44,3,12,129
480886,857,16,24,32,203,82,7,387,17,28,36,8,17,129
480887,549,15,20,28,128,56,1,224,3,29,19,12,14,129
480888,562,20,16,28,122,39,5,265,4,34,15,4,10,129
480889,883,27,21,43,195,71,12,383,7,51,35,7,31,129
480890,517,18,21,19,78,36,9,275,7,18,19,3,14,129
480891,1047,56,32,29,242,68,7,477,12,55,36,12,21,129
480892,1077,54,28,48,214,64,15,521,14,57,39,6,17,129
480893,777,35,17,27,151,52,15,391,14,25,22,9,19,129
480894,892,22,39,39,174,94,8,397,6,48,28,8,29,129
480895,896,36,25,34,264,56,10,350,11,48,28,12,22,129
480896,966,46,26,42,224,55,8,439,8,50,34,11,23,129
480897,792,32,27,49,222,45,12,319,5,30,22,5,24,129
480898,1021,45,41,28,264,59,16,455,7,42,32,6,26,129
480899,1095,48,40,31,284,65,13,475,9,60,40,5,25,129
480900,1127,66,39,41,279,81,7,485,11,50,44,7,17,129
480901,1068,42,26,62,294,66,7,443,8,63,33,6,18,129
480902,1038,41,33,36,250,58,10,505,8,32,28,11,26,129
480903,595,20,20,24,127,45,8,272,10,25,23,6,15,129
480904,598,18,13,21,111,36,9,329,7,25,15,2,12,129
480905,614,13,17,21,129,35,7,314,6,25,16,6,25,129
480906,631,23,9,23,165,20,3,322,18,18,14,3,13,129
480907,1064,21,23,32,159,82,12,589,11,46,33,10,46,129
480908,663,13,24,29,143,21,9,347,8,19,27,6,17,129
480909,1035,37,44,34,232,63,15,497,19,36,31,5,22,129
480910,407,12,13,14,85,16,12,205,7,23,5,3,12,129
480911,596,26,22,17,119,30,5,280,6,45,26,5,15,129
480912,840,34,21,23,214,51,4,396,9,41,23,6,18,129
480913,1139,38,26,30,255,77,19,560,18,63,32,6,15,129
480914,1037,37,26,37,247,60,11,511,16,39,26,11,16,129
480915,916,37,25,30,232,52,7,435,4,43,27,3,21,129
480916,1171,37,33,37,268,75,20,553,15,58,40,5,30,129
480917,1188,48,34,38,260,106,11,540,18,58,31,7,37,129
480918,1210,64,31,25,292,59,10,576,8,56,40,5,44,129
480919,1254,42,35,34,275,87,21,607,12,64,39,7,31,129
480920,1319,53,36,40,210,87,18,711,6,80,39,9,30,129
480921,452,18,15,13,106,25,5,237,5,9,8,7,4,129
480922,1041,39,23,31,330,44,6,466,4,51,26,3,18,129
480923,942,39,24,26,236,50,10,482,11,23,19,8,14,129
480924,1002,31,23,47,230,43,4,536,12,41,16,6,13,129
480925,844,31,26,18,204,37,7,444,11,27,21,10,8,129
480926,830,23,28,41,173,46,11,436,14,13,22,11,12,129
480927,524,14,16,23,87,36,2,293,11,12,14,4,12,129
480928,15,2,0,3,1,1,0,8,0,0,0,0,0,129
480929,28,1,2,2,5,1,0,12,0,1,1,0,3,129
480930,6,0,0,2,0,0,0,3,0,0,0,0,1,129
480931,18,2,0,2,0,1,0,12,0,0,0,0,1,129
480932,63,4,0,4,19,3,0,25,1,1,0,2,4,129
480933,25,0,2,0,7,0,0,12,0,0,0,0,4,129
480934,29,1,0,4,0,1,2,18,1,1,0,0,1,129
480935,16,1,0,0,1,0,0,14,0,0,0,0,0,129
480936,37,0,0,0,2,3,0,20,0,2,5,0,5,129
480028,833,16,21,71,101,51,10,482,17,8,29,7,20,130
480029,810,15,24,77,93,30,3,462,28,18,24,6,30,130
480030,858,12,31,55,91,34,22,529,21,11,11,5,36,130
480031,580,8,11,43,63,20,6,377,12,7,18,2,13,130
480032,653,11,20,53,66,34,2,410,16,8,15,2,16,130
480033,799,20,22,60,103,54,19,439,18,18,20,10,16,130
480034,52,1,1,5,5,2,4,29,2,0,3,0,0,130
480035,55,5,1,3,13,2,3,21,4,0,2,0,1,130
480036,62,1,0,5,23,2,8,19,1,0,0,0,3,130
480037,401,6,12,14,63,13,10,243,13,6,7,5,9,130
480038,418,5,1,17,65,5,4,288,14,6,3,1,9,130
480039,306,9,8,3,67,5,5,157,19,11,4,1,17,130
480040,109,4,4,12,15,5,3,47,15,0,1,1,2,130
480041,120,5,3,8,17,7,0,68,4,0,0,0,8,130
480042,109,1,0,12,14,3,1,76,0,0,1,0,1,130
480043,601,16,14,31,102,17,9,350,19,9,7,5,22,130
480044,133,1,6,12,29,7,0,60,10,1,1,0,6,130
480045,73,0,1,6,15,5,1,30,12,0,1,0,2,130
480046,287,10,3,3,131,14,4,102,6,1,3,0,10,130
480047,109,3,0,4,18,8,0,57,9,0,5,1,4,130
480048,199,9,3,10,21,13,13,98,17,3,7,0,5,130
480050,501,14,7,32,91,15,3,269,28,4,9,6,23,130
480051,147,2,1,24,45,3,1,51,10,6,1,0,3,130
480052,280,6,0,11,74,12,3,148,11,6,2,1,6,130
480053,339,11,6,8,63,9,7,195,11,10,4,4,11,130
480054,216,6,2,9,52,20,2,101,8,0,3,1,12,130
480055,230,3,4,6,54,6,3,118,18,3,9,1,5,130
480056,222,7,2,20,25,23,6,113,14,2,2,2,6,130
480058,140,7,2,6,32,8,2,65,14,0,1,0,3,130
480060,345,7,0,36,55,24,3,173,25,1,5,0,16,130
480061,140,3,0,20,17,0,4,82,11,0,1,0,2,130
480062,230,7,0,13,41,11,8,116,24,0,6,2,2,130
480063,149,5,5,12,11,8,4,77,15,3,2,0,7,130
480064,894,58,8,37,286,14,8,413,39,5,5,2,19,130
480065,53,1,1,5,10,2,1,28,4,0,0,1,0,130
480066,277,24,4,39,64,7,3,107,15,2,2,0,10,130
480067,252,4,6,26,42,18,7,114,15,2,10,1,7,130
480068,248,6,4,10,67,4,3,113,25,2,7,0,7,130
480069,20,1,1,2,2,1,1,10,0,0,1,0,1,130
480097,543,9,22,33,89,31,6,308,19,8,4,1,13,130
480098,598,13,24,35,123,41,10,297,18,6,10,6,15,130
480099,318,0,8,17,34,19,5,202,14,2,4,2,11,130
480100,211,2,9,18,31,13,3,108,10,5,8,2,2,130
480101,278,3,8,19,37,19,3,166,12,2,1,1,7,130
480102,369,12,7,39,58,26,1,196,12,6,1,1,10,130
480103,68,0,0,8,20,10,0,28,1,0,0,0,1,130
480104,129,4,2,17,18,5,3,53,15,3,3,4,2,130
480105,203,4,5,22,34,10,2,92,19,3,6,2,4,130
480106,273,8,18,33,59,13,4,114,10,1,3,0,10,130
480107,174,5,0,15,46,3,2,86,8,0,5,0,4,130
480108,323,9,10,31,43,4,9,169,36,2,4,1,5,130
480109,523,11,2,18,75,15,5,362,21,4,4,0,6,130
480110,87,1,1,5,17,5,0,43,7,2,4,0,2,130
480111,79,5,0,3,6,8,3,46,2,1,2,1,2,130
480112,57,3,0,2,4,4,0,40,2,0,0,0,2,130
480113,120,1,3,10,24,5,3,62,5,0,3,0,4,130
480114,41,0,0,2,18,3,0,12,5,0,0,0,1,130
480115,48,1,0,9,13,2,1,14,3,0,1,0,4,130
480116,262,9,1,6,114,4,1,112,8,2,0,0,5,130
480117,236,4,4,14,23,10,3,149,21,0,3,0,5,130
480118,64,2,3,3,23,2,0,27,3,0,0,0,1,130
480119,139,3,1,33,16,8,2,55,15,0,3,0,3,130
480120,221,6,1,7,40,3,2,126,18,2,5,1,10,130
480121,139,9,3,5,33,4,2,74,4,0,3,0,2,130
480122,113,3,1,4,33,3,0,59,6,0,3,0,1,130
480123,96,4,0,3,16,2,3,49,14,1,3,0,1,130
480124,217,3,2,14,54,5,2,100,18,6,1,3,9,130
480125,318,8,4,3,64,12,6,188,19,0,8,0,6,130
480126,122,4,1,12,21,6,2,62,10,1,1,0,2,130
480127,246,6,6,15,48,5,2,124,28,2,2,0,8,130
480128,74,2,2,7,10,3,1,39,5,0,1,0,4,130
480129,22,0,0,2,4,2,0,13,0,0,0,1,0,130
480349,1007,12,16,27,211,28,13,624,12,17,22,3,22,130
480350,683,16,12,21,141,17,3,414,23,8,9,3,16,130
480351,732,27,5,11,147,14,3,469,16,16,9,3,12,130
480352,466,6,8,10,89,12,5,305,9,4,3,2,13,130
480353,249,4,2,15,48,3,1,157,13,0,1,0,5,130
480354,169,5,3,16,42,9,2,58,25,0,1,1,7,130
480355,175,11,2,16,38,4,1,75,15,1,2,2,8,130
480356,383,15,0,1,173,6,5,150,22,6,2,1,2,130
480357,360,19,7,3,147,5,6,137,20,4,0,2,10,130
480358,176,5,1,8,36,4,2,91,20,2,0,0,7,130
480359,174,6,3,7,26,3,2,113,10,0,1,0,3,130
480360,241,6,3,11,27,4,6,148,29,0,1,2,4,130
480361,122,2,0,9,24,5,0,64,8,0,1,4,5,130
480362,322,10,3,9,47,4,1,208,19,2,0,0,19,130
480363,283,13,1,15,57,7,6,153,21,4,3,1,2,130
480364,220,8,1,11,49,5,4,119,6,8,2,1,6,130
480365,87,2,1,14,7,4,1,39,14,1,0,0,4,130
480366,277,16,2,29,72,9,2,122,6,5,5,2,7,130
480367,219,7,2,17,53,9,2,105,9,3,2,0,10,130
480368,203,2,2,14,22,8,3,121,21,2,6,0,2,130
480369,149,3,1,6,49,3,2,70,9,2,0,1,3,130
480370,73,2,0,1,27,5,0,33,3,0,0,0,2,130
480371,91,3,0,4,17,4,1,55,5,0,0,0,2,130
480372,75,2,7,4,16,7,1,32,4,0,0,0,2,130
480373,479,32,4,12,215,20,2,167,18,1,0,0,8,130
480374,131,6,1,4,26,3,0,80,5,0,3,0,3,130
480375,13,1,0,1,2,1,0,7,1,0,0,0,0,130
480376,560,16,0,61,36,6,6,272,8,22,5,9,119,130
480455,221,2,1,11,58,8,1,117,13,2,4,1,3,130
480456,167,5,1,6,43,2,2,96,8,0,1,0,3,130
480457,239,3,9,14,35,10,1,137,14,3,6,4,3,130
480458,480,10,2,23,74,9,3,312,30,3,8,2,4,130
