polling_station_number,parlament_voters,Oppobloc,Strength and Honor,Fatherland,OP for Life,European Solidarity,Ukrainian Strategy,Servant of the People,Radical Party,Party of Shariy,Voice,Freedom,Other parties,district_number
50467,35,3,2,3,4,6,5,8,4,0,0,0,0,13
50468,85,0,9,15,1,15,4,25,6,0,6,0,4,13
50469,152,6,9,13,10,9,7,56,31,1,3,0,7,13
50470,245,2,23,15,10,17,17,86,60,0,2,0,13,13
50471,21,0,1,1,4,2,4,4,4,0,0,0,1,13
50472,320,4,13,28,4,25,60,131,28,0,8,2,17,13
50474,105,3,7,4,7,4,14,36,23,0,1,1,5,13
50475,219,0,6,45,11,8,30,89,18,3,3,1,5,13
50476,179,0,7,20,8,13,27,57,39,0,2,4,2,13
50477,216,2,6,20,3,9,35,104,26,0,4,3,4,13
50478,194,12,5,17,1,21,33,56,33,1,11,0,4,13
50479,239,3,11,10,2,20,39,117,27,0,7,1,2,13
50480,201,0,17,12,9,6,30,74,40,1,7,0,5,13
50481,278,10,17,36,10,12,43,100,34,1,6,2,7,13
50482,1183,13,95,117,54,82,119,547,36,13,47,16,44,13
50483,233,5,13,28,11,10,15,108,15,0,16,3,9,13
50484,257,3,7,33,11,8,24,135,15,0,9,0,12,13
50485,573,5,23,80,19,39,69,244,46,3,21,0,24,13
50486,131,0,2,16,1,10,22,48,27,0,2,1,2,13
50487,147,0,2,12,1,9,2,102,11,0,2,0,6,13
50488,56,0,2,1,2,14,8,25,3,0,0,0,1,13
50489,280,2,13,22,11,17,25,148,23,0,13,4,2,13
50490,260,4,9,32,4,5,31,129,27,1,7,1,10,13
50491,180,5,5,15,13,18,37,58,19,0,6,0,4,13
50492,53,0,6,6,2,1,7,23,6,0,0,0,2,13
50493,86,0,2,5,11,9,9,36,11,0,1,0,2,13
50494,195,4,6,22,6,9,31,69,24,5,10,3,6,13
50495,276,3,18,15,15,13,52,118,14,0,9,7,12,13
50496,145,0,2,10,8,5,15,80,11,2,5,1,6,13
50497,77,1,5,3,8,6,6,29,13,0,0,0,6,13
50498,623,6,35,50,19,53,113,235,54,2,27,13,16,13
50499,40,0,5,8,4,2,1,13,3,0,0,0,4,13
50500,67,3,1,4,2,7,4,35,7,0,1,0,3,13
50501,94,0,6,6,12,3,9,37,16,0,1,0,4,13
50502,274,1,6,30,6,14,15,165,20,1,9,1,6,13
50503,199,0,8,22,14,2,14,108,19,1,4,1,6,13
50504,416,9,18,25,9,30,63,210,17,1,21,2,11,13
50505,187,3,5,22,8,5,28,92,12,2,1,2,7,13
50506,224,1,10,23,11,9,30,93,31,0,3,0,13,13
50507,57,0,8,6,0,3,7,23,8,0,2,0,0,13
50508,21,0,0,3,1,2,1,12,0,0,2,0,0,13
51210,313,13,11,39,13,17,68,105,33,0,4,1,9,13
51211,52,5,0,1,0,3,13,11,14,0,1,0,4,13
51212,85,0,0,7,6,11,16,29,9,0,1,1,5,13
51213,518,1,15,96,32,29,67,203,50,2,10,0,13,13
51214,194,8,5,23,4,6,19,85,30,2,6,0,6,13
51215,307,5,12,50,14,8,37,141,24,2,12,1,1,13
